#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-05-05T08:56:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5cce9f1010d24
#INFO	-out.max=unlimited
#INFO	queryParameters=19
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Vmag
#-out=V-K
#-out=logLx
#-out=Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stellar rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
#Vmag;V-K;logLx;Prot;M*;R*;L*;Teff;dcz;Lx/bol
#mag;mag;[10-7W];d;Msun;Rsun;Lsun;K; ;[---]
#-----;-----;-----;-----;-----;-----;-----;----;-----;-----
 7.63; 1.42;28.97;11.10; 1.05; 0.97; 0.91;5537; 0.76;-4.54
 5.24; 2.03;26.79;35.20; 0.92; 0.83; 0.48;5098; 0.70;-6.44
11.42; 4.22;29.57; 4.12; 0.57; 0.48; 0.07;3918; 0.61;-2.84
15.12; 5.36;28.72; 3.39; 0.18; 0.19; 0.01;3251; 0.00;-2.57
 5.63; 1.95;28.34;23.00; 0.96; 0.87; 0.58;5233; 0.72;-4.97
 8.89; 3.73;27.70;15.80; 0.62; 0.53; 0.09;4026; 0.61;-4.83
10.35; 1.63;30.26; 0.54; 1.09; 1.02; 1.07;5659; 0.76;-3.35
 7.85; 1.64;28.28; 8.00; 1.02; 0.93; 0.78;5439; 0.72;-5.15
 8.07; 1.59;29.56; 3.03; 1.08; 1.00; 1.02;5625; 0.76;-3.97
12.64; 4.41;28.71; 2.79; 0.40; 0.35; 0.02;3668; 0.09;-3.26
12.28; 5.63;27.33; 0.52; 0.14; 0.15; 0.00;3102; 0.00;-3.68
 7.79; 1.95;28.89;15.78; 0.94; 0.85; 0.52;5153; 0.70;-4.34
10.19; 4.10;27.67;44.51; 0.40; 0.35; 0.02;3663; 0.09;-4.30
13.44; 3.47;28.12; 1.30; 0.20; 0.21; 0.01;3291; 0.00;-3.24
 7.19; 1.42;28.83; 7.45; 1.04; 0.95; 0.85;5492; 0.72;-4.65
 7.35; 1.42;29.05; 7.49; 1.00; 0.91; 0.70;5380; 0.72;-4.36
 7.13; 2.15;28.18; 6.79; 1.04; 0.96; 0.88;5517; 0.72;-5.27
13.24; 4.39;28.58;15.29; 0.30; 0.28; 0.01;3531; 0.00;-3.15
12.35; 4.03;29.07; 2.73; 0.40; 0.35; 0.02;3667; 0.09;-2.90
 8.70; 3.55;29.55; 1.56; 0.65; 0.56; 0.10;4095; 0.61;-3.05
 5.79; 2.41;27.24;48.00; 0.84; 0.75; 0.31;4785; 0.68;-5.76
 5.79; 1.24;28.80; 7.40; 1.23; 1.21; 2.04;6081; 0.82;-5.10
13.20; 4.74;28.34; 9.36; 0.34; 0.31; 0.02;3587; 0.00;-3.51
11.18; 3.58;29.66; 7.98; 0.53; 0.44; 0.05;3845; 0.54;-3.39
 6.05; 1.95;29.08; 6.76; 0.91; 0.81; 0.43;5037; 0.70;-4.12
 5.58; 1.08;28.69; 3.00; 1.56; 1.70; 6.59;6910; 0.99;-5.66
 7.09; 1.42;28.81; 8.92; 1.16; 1.12; 1.55;5890; 0.82;-4.95
 6.92; 1.29;28.32; 9.70; 1.16; 1.12; 1.55;5891; 0.82;-5.41
14.13; 4.51;28.35; 2.35; 0.21; 0.21; 0.01;3317; 0.00;-3.06
10.20; 3.55;28.55; 0.51; 0.58; 0.49; 0.07;3941; 0.61;-3.89
 7.29; 1.59;28.20;12.42; 1.09; 1.02; 1.07;5656; 0.76;-5.41
 8.48; 1.42;28.88; 5.41; 0.97; 0.88; 0.61;5264; 0.72;-4.70
 8.48; 1.42;28.88; 5.48; 0.97; 0.88; 0.61;5264; 0.72;-4.49
14.33; 4.81;28.02; 2.87; 0.21; 0.22; 0.01;3327; 0.00;-3.40
13.12; 4.71;28.97; 1.29; 0.35; 0.32; 0.02;3599; 0.09;-2.90
14.01; 3.78;28.14; 0.86; 0.17; 0.18; 0.00;3215; 0.00;-3.08
13.11; 4.03;28.44; 5.13; 0.28; 0.27; 0.01;3494; 0.00;-3.23
11.99; 2.36;30.12; 0.62; 1.03; 0.92; 0.76;5440; 1.00;-3.35
 4.84; 1.64;28.90; 9.40; 1.06; 0.98; 0.94;5560; 0.76;-4.66
14.55; 4.06;29.58; 0.35; 0.76; 0.67; 0.20;4505; 0.68;-3.30
12.08; 1.93;29.46; 4.78; 0.98; 0.87; 0.60;5278; 1.00;-3.91
12.80; 2.21;29.05; 6.20; 0.86; 0.76; 0.34;4876; 0.70;-4.07
12.80; 2.93;29.66; 0.21; 0.93; 0.82; 0.47;5102; 0.70;-3.60
11.96; 1.81;29.62; 4.26; 0.99; 0.89; 0.64;5338; 1.00;-3.78
13.89; 2.98;29.31; 3.20; 0.74; 0.65; 0.18;4427; 0.66;-3.52
11.69; 1.59;30.23; 0.60; 0.98; 0.87; 0.60;5282; 1.00;-3.14
15.18; 5.24;28.42; 1.93; 0.17; 0.18; 0.00;3218; 0.00;-2.81
12.92; 2.35;29.74; 3.89; 0.85; 0.75; 0.32;4832; 0.70;-3.35
15.84; 4.16;29.43; 0.25; 0.55; 0.48; 0.07;3913; 0.55;-2.97
11.43; 1.54;29.71; 3.63; 1.09; 0.99; 1.00;5647; 1.00;-3.88
14.12; 3.10;29.52; 0.65; 0.71; 0.63; 0.15;4341; 0.66;-3.25
11.71; 2.02;30.17; 0.32; 1.05; 0.95; 0.86;5528; 1.00;-3.35
11.63; 1.77;30.38; 0.81; 1.05; 0.95; 0.86;5525; 1.00;-3.14
12.27; 1.75;29.42; 5.13; 0.93; 0.82; 0.47;5109; 0.70;-3.84
12.75; 3.06;28.23; 3.46; 0.24; 0.24; 0.01;3407; 0.00;-3.30
12.25; 1.98;30.06; 3.71; 0.95; 0.84; 0.52;5167; 0.70;-3.24
13.68; 2.82;29.51; 2.69; 0.76; 0.67; 0.19;4485; 0.68;-3.36
13.10; 2.87;30.12; 0.43; 0.76; 0.67; 0.19;4452; 0.68;-2.75
13.09; 2.39;29.74; 3.47; 0.83; 0.73; 0.28;4739; 0.68;-3.29
12.61; 2.13;29.90; 2.40; 0.90; 0.79; 0.39;4997; 0.70;-3.28
11.27; 1.59;30.30; 0.33; 1.06; 0.96; 0.89;5550; 1.00;-3.24
12.03; 1.89;29.39; 5.50; 0.99; 0.88; 0.62;5310; 1.00;-3.99
12.84; 2.47;29.93; 0.56; 0.88; 0.77; 0.36;4921; 0.70;-3.21
11.93; 1.97;29.34; 3.23; 1.01; 0.90; 0.69;5385; 1.00;-4.09
11.77; 4.00;28.91; 9.70; 0.48; 0.41; 0.04;3782; 0.54;-3.28
13.40; 2.67;29.20; 1.30; 0.79; 0.70; 0.22;4605; 0.68;-3.74
13.00; 1.94;29.66; 0.36; 0.81; 0.72; 0.26;4692; 0.68;-3.34
15.74; 4.58;29.34; 0.32; 0.62; 0.54; 0.09;4065; 0.62;-3.22
12.29; 2.17;29.75; 0.22; 0.95; 0.85; 0.54;5192; 1.00;-3.57
12.83; 2.24;29.62; 6.40; 0.86; 0.76; 0.33;4862; 0.70;-3.49
12.78; 2.13;28.64; 6.30; 0.86; 0.76; 0.34;4870; 0.70;-4.47
13.82; 3.27;29.37; 2.82; 0.79; 0.70; 0.22;4604; 0.68;-3.57
13.05; 2.45;29.83; 0.47; 0.84; 0.74; 0.29;4776; 0.68;-3.23
14.31; 3.28;29.24; 0.21; 0.70; 0.62; 0.14;4304; 0.66;-3.50
12.31; 1.94;29.46; 5.62; 0.93; 0.83; 0.49;5126; 0.70;-3.81
14.47; 4.84;28.02; 6.55; 0.20; 0.21; 0.01;3298; 0.00;-3.35
13.05; 2.48;29.96; 0.63; 0.84; 0.74; 0.30;4781; 0.68;-3.10
12.28; 2.04;30.24; 0.74; 0.94; 0.84; 0.51;5164; 0.70;-3.06
12.06; 2.03;30.08; 0.32; 0.99; 0.88; 0.63;5313; 1.00;-3.30
13.91; 3.52;28.25; 0.39; 0.17; 0.18; 0.00;3200; 0.00;-2.94
12.10; 2.25;29.93; 1.82; 1.00; 0.89; 0.66;5354; 1.00;-3.48
13.08; 2.68;29.79; 3.75; 0.84; 0.74; 0.30;4793; 0.68;-3.28
 3.72; 2.15;28.32;11.68; 0.88; 0.79; 0.38;4937; 0.70;-4.80
15.07; 3.75;29.36; 0.29; 0.62; 0.54; 0.10;4073; 0.62;-3.21
13.24; 2.40;29.39; 7.10; 0.81; 0.71; 0.24;4659; 0.68;-3.58
 8.93; 1.51;30.31; 1.84; 1.15; 1.09; 1.42;5831; 0.76;-3.50
13.68; 3.47;28.47; 0.47; 0.18; 0.19; 0.00;3238; 0.00;-2.80
 9.36; 2.24;29.02;10.57; 0.91; 0.82; 0.45;5064; 0.70;-4.22
14.10; 4.53;28.33; 1.88; 0.21; 0.22; 0.01;3329; 0.00;-3.09
14.24; 4.03;29.71; 0.38; 0.70; 0.60; 0.13;4254; 0.66;-2.99
13.46; 3.43;29.55; 6.63; 0.74; 0.65; 0.18;4422; 0.66;-3.28
14.48; 3.65;29.64; 2.99; 0.60; 0.51; 0.08;4001; 0.62;-2.84
12.66; 2.48;29.06; 8.41; 0.79; 0.69; 0.22;4581; 0.69;-3.86
11.96; 2.12;29.03; 6.65; 0.88; 0.78; 0.36;4927; 0.70;-4.12
15.21; 4.30;29.47; 0.28; 0.56; 0.47; 0.07;3935; 0.62;-2.93
16.37; 4.83;29.21; 2.03; 0.44; 0.38; 0.03;3735; 0.45;-2.88
16.05; 4.64;28.87; 0.26; 0.46; 0.40; 0.04;3775; 0.57;-3.29
12.65; 2.74;29.44; 6.75; 0.81; 0.71; 0.24;4652; 0.69;-3.52
11.44; 2.10;30.10; 0.67; 0.97; 0.87; 0.59;5256; 0.72;-3.25
14.37; 3.55;29.47; 0.36; 0.59; 0.49; 0.07;3972; 0.62;-2.97
14.26; 3.51;29.48; 1.36; 0.62; 0.53; 0.09;4048; 0.62;-3.05
15.43; 4.36;29.34; 0.97; 0.53; 0.45; 0.06;3883; 0.57;-2.99
11.62; 2.13;30.24; 0.47; 0.94; 0.83; 0.50;5142; 0.70;-3.04
10.89; 1.95;29.32; 5.71; 1.04; 0.94; 0.82;5488; 0.72;-4.18
11.30; 1.59;29.94; 5.39; 0.94; 0.84; 0.51;5161; 0.70;-3.36
14.50; 3.74;29.45; 3.02; 0.61; 0.51; 0.08;4018; 0.62;-3.05
14.30; 3.54;29.46; 4.53; 0.62; 0.52; 0.09;4041; 0.62;-3.06
16.07; 4.44;28.90; 3.96; 0.44; 0.38; 0.03;3734; 0.45;-3.19
15.62; 4.23;29.31; 4.12; 0.49; 0.41; 0.04;3814; 0.57;-2.90
10.71; 1.46;30.51; 1.48; 1.05; 0.95; 0.86;5526; 0.94;-3.01
10.70; 1.46;29.44; 4.23; 1.05; 0.96; 0.87;5533; 0.94;-4.09
11.63; 2.13;29.85; 4.76; 0.94; 0.83; 0.50;5136; 0.70;-3.43
11.45; 1.93;29.66; 2.61; 0.96; 0.85; 0.55;5206; 0.72;-3.66
10.79; 1.46;29.18; 3.93; 1.04; 0.94; 0.80;5476; 0.72;-4.31
10.48; 2.05;29.92; 3.18; 1.16; 1.08; 1.38;5853; 0.81;-3.81
10.60; 1.46;30.33; 1.48; 1.08; 0.98; 0.96;5603; 0.94;-3.23
11.02; 2.03;29.95; 4.52; 1.05; 0.95; 0.84;5504; 0.72;-3.56
13.01; 2.82;29.90; 0.41; 0.75; 0.66; 0.18;4450; 0.69;-2.94
13.74; 3.41;29.68; 0.36; 0.70; 0.61; 0.13;4264; 0.66;-3.03
15.42; 4.29;29.43; 3.27; 0.53; 0.44; 0.05;3874; 0.57;-2.88
16.66; 4.89;29.32; 1.08; 0.40; 0.36; 0.03;3685; 0.45;-2.68
11.60; 2.22;30.21; 0.84; 0.95; 0.84; 0.53;5177; 0.70;-3.09
14.02; 3.89;29.59; 0.40; 0.71; 0.62; 0.14;4299; 0.66;-3.15
13.32; 3.18;29.88; 3.79; 0.74; 0.65; 0.17;4406; 0.66;-2.94
 9.84; 1.29;29.70; 1.92; 1.23; 1.17; 1.88;6071; 0.81;-4.16
11.39; 1.77;28.84; 5.52; 0.93; 0.83; 0.48;5119; 0.70;-4.43
13.67; 4.54;28.68; 0.68; 0.26; 0.25; 0.01;3453; 0.00;-2.92
13.43; 2.97;29.24; 5.55; 0.71; 0.61; 0.14;4276; 0.66;-3.48
10.78; 1.34;29.57; 2.43; 1.03; 0.93; 0.79;5468; 0.72;-3.92
10.42; 1.42;29.37; 2.85; 1.11; 1.02; 1.11;5712; 0.94;-4.27
13.85; 3.25;29.17; 5.84; 0.66; 0.57; 0.11;4153; 0.66;-3.46
10.73; 1.57;29.26; 3.79; 1.08; 0.99; 0.98;5625; 0.94;-4.32
13.82; 3.15;29.31; 4.33; 0.66; 0.56; 0.11;4135; 0.66;-3.30
16.18; 4.63;29.55; 0.86; 0.44; 0.38; 0.03;3741; 0.45;-2.56
16.20; 4.90;29.39; 0.69; 0.48; 0.41; 0.04;3795; 0.57;-2.80
12.68; 3.16;30.24; 0.43; 0.84; 0.75; 0.31;4798; 0.69;-2.83
12.40; 2.44;29.39; 7.50; 0.82; 0.73; 0.27;4725; 0.69;-3.63
15.28; 4.13;29.08; 1.25; 0.53; 0.45; 0.05;3878; 0.57;-3.24
15.74; 4.49;29.35; 2.19; 0.50; 0.42; 0.05;3833; 0.57;-2.90
13.52; 3.18;29.80; 0.40; 0.71; 0.62; 0.14;4298; 0.66;-2.94
10.11; 1.24;29.83; 0.29; 1.17; 1.09; 1.46;5892; 0.81;-3.92
16.66; 5.19;29.25; 0.33; 0.44; 0.38; 0.03;3739; 0.45;-2.85
12.32; 3.20;30.30; 0.83; 0.91; 0.81; 0.44;5054; 0.70;-2.92
 9.71; 1.24;30.03; 0.53; 1.26; 1.21; 2.10;6153; 0.87;-3.88
11.30; 1.64;29.11; 5.23; 0.94; 0.84; 0.52;5162; 0.70;-4.19
 9.50; 1.46;30.34; 0.92; 1.32; 1.28; 2.63;6327; 0.87;-3.67
14.23; 3.48;29.38; 3.84; 0.62; 0.53; 0.09;4052; 0.62;-3.15
10.56; 1.54;29.90; 3.16; 1.09; 1.00; 1.01;5648; 0.94;-3.69
14.27; 3.45;28.85; 0.90; 0.61; 0.52; 0.08;4030; 0.62;-3.66
13.66; 3.37;29.40; 7.15; 0.71; 0.61; 0.14;4292; 0.66;-3.33
16.29; 4.73;29.00; 0.83; 0.43; 0.38; 0.03;3732; 0.45;-3.09
12.61; 3.24;29.30; 3.93; 0.86; 0.76; 0.34;4877; 0.70;-3.82
12.78; 2.83;29.71; 0.58; 0.80; 0.70; 0.23;4615; 0.69;-3.23
12.79; 2.56;29.02; 7.07; 0.77; 0.67; 0.20;4501; 0.69;-3.86
13.05; 2.65;29.02; 7.04; 0.73; 0.63; 0.16;4354; 0.66;-3.76
14.71; 3.73;29.07; 5.17; 0.57; 0.48; 0.07;3945; 0.62;-3.34
12.08; 2.61;29.03; 6.83; 0.89; 0.79; 0.38;4967; 0.70;-4.14
15.20; 4.49;29.56; 2.00; 0.59; 0.50; 0.07;3982; 0.62;-2.90
10.15; 1.42;29.59; 2.85; 1.17; 1.09; 1.43;5877; 0.81;-4.15
11.71; 2.05;29.27; 5.91; 0.92; 0.81; 0.45;5068; 0.70;-3.97
14.20; 3.48;29.20; 1.39; 0.63; 0.53; 0.09;4066; 0.62;-3.35
10.58; 1.96;29.30; 4.08; 1.13; 1.04; 1.23;5772; 0.94;-4.38
13.96; 3.31;28.98; 6.58; 0.65; 0.55; 0.10;4118; 0.62;-3.62
10.41; 1.42;29.60; 3.09; 1.11; 1.02; 1.12;5718; 0.94;-4.04
15.83; 4.58;29.11; 0.32; 0.50; 0.42; 0.04;3827; 0.57;-3.12
10.52; 1.46;29.38; 1.72; 1.10; 1.00; 1.03;5663; 0.94;-4.22
13.02; 3.08;29.80; 5.22; 0.78; 0.69; 0.21;4566; 0.69;-3.12
11.10; 1.77;30.21; 1.32; 0.99; 0.88; 0.63;5319; 0.72;-3.17
14.21; 3.75;29.56; 2.42; 0.66; 0.56; 0.11;4147; 0.66;-3.06
14.61; 3.71;29.15; 6.80; 0.59; 0.49; 0.07;3972; 0.62;-3.30
14.77; 3.93;29.24; 0.74; 0.59; 0.50; 0.07;3979; 0.62;-3.22
14.02; 3.25;29.65; 5.45; 0.63; 0.54; 0.09;4075; 0.62;-2.90
12.25; 2.73;29.92; 7.50; 0.87; 0.77; 0.35;4886; 0.70;-3.20
11.83; 2.04;29.05; 0.87; 0.90; 0.80; 0.40;5002; 0.70;-4.14
10.25; 1.34;29.42; 2.32; 1.14; 1.06; 1.29;5804; 0.94;-4.28
13.29; 2.90;29.14; 7.96; 0.72; 0.62; 0.15;4322; 0.66;-3.62
12.32; 2.34;29.52; 6.42; 0.83; 0.73; 0.28;4750; 0.69;-3.52
12.18; 2.72;30.20; 0.52; 0.88; 0.78; 0.37;4932; 0.70;-2.95
15.47; 4.22;29.14; 1.21; 0.51; 0.43; 0.05;3850; 0.57;-3.13
11.45; 1.95;29.05; 5.97; 0.93; 0.83; 0.49;5124; 0.70;-4.22
14.56; 3.73;29.49; 0.30; 0.60; 0.50; 0.08;3994; 0.62;-2.98
15.35; 4.64;29.38; 2.45; 0.58; 0.49; 0.07;3967; 0.62;-3.06
12.33; 2.37;29.56; 7.63; 0.83; 0.73; 0.28;4751; 0.69;-3.48
13.52; 3.01;29.41; 0.39; 0.70; 0.60; 0.13;4244; 0.66;-3.29
13.51; 3.49;29.34; 2.65; 0.74; 0.65; 0.17;4417; 0.66;-3.49
15.22; 4.45;29.21; 1.21; 0.58; 0.49; 0.07;3965; 0.62;-3.23
12.53; 2.40;29.62; 8.18; 0.80; 0.71; 0.24;4651; 0.69;-3.34
12.70; 2.83;29.14; 4.56; 0.79; 0.69; 0.22;4580; 0.69;-3.78
14.02; 3.71;29.64; 2.09; 0.69; 0.59; 0.13;4227; 0.66;-3.04
11.59; 4.66;28.94; 3.88; 0.43; 0.37; 0.03;3714; 0.09;-3.14
15.87; 4.38;29.31; 2.78; 0.46; 0.40; 0.04;3773; 0.57;-2.85
15.74; 4.69;29.37; 0.60; 0.52; 0.44; 0.05;3866; 0.57;-2.93
12.86; 2.62;29.21; 8.41; 0.76; 0.66; 0.19;4463; 0.69;-3.65
13.51; 3.07;28.98; 8.37; 0.70; 0.61; 0.14;4268; 0.66;-3.74
13.97; 3.51;29.94; 0.31; 0.67; 0.58; 0.12;4180; 0.66;-2.71
10.51; 1.64;29.32; 3.25; 1.10; 1.01; 1.07;5687; 0.94;-4.30
13.98; 3.29;29.48; 0.78; 0.64; 0.55; 0.10;4105; 0.62;-3.10
13.58; 3.15;29.61; 0.48; 0.70; 0.61; 0.13;4260; 0.66;-3.10
16.13; 4.55;28.74; 1.41; 0.44; 0.38; 0.03;3738; 0.45;-3.36
13.51; 3.41;29.64; 0.74; 0.72; 0.62; 0.15;4312; 0.66;-3.11
14.10; 3.30;28.92; 1.15; 0.62; 0.53; 0.09;4056; 0.62;-3.62
10.40; 1.34;29.05; 3.85; 1.11; 1.02; 1.12;5717; 0.94;-4.59
14.29; 3.48;29.10; 5.60; 0.61; 0.52; 0.08;4031; 0.62;-3.41
14.84; 4.21;29.33; 2.47; 0.62; 0.52; 0.09;4040; 0.62;-3.19
12.66; 2.71;29.75; 0.23; 0.80; 0.71; 0.23;4636; 0.69;-3.20
10.34; 1.34;29.48; 2.89; 1.12; 1.04; 1.19;5751; 0.94;-4.18
14.19; 4.08;28.32; 3.42; 0.18; 0.19; 0.00;3230; 0.00;-2.94
10.93; 1.95;29.47; 5.07; 1.03; 0.93; 0.79;5463; 0.72;-4.01
12.65; 2.54;29.72; 0.55; 0.79; 0.70; 0.22;4600; 0.69;-3.21
10.87; 1.95;30.65; 0.78; 1.04; 0.94; 0.83;5500; 0.72;-2.85
14.23; 3.54;29.28; 1.42; 0.63; 0.53; 0.09;4069; 0.62;-3.27
10.44; 1.34;29.35; 4.67; 1.11; 1.01; 1.08;5696; 0.94;-4.27
14.42; 3.81;29.47; 0.40; 0.63; 0.54; 0.09;4073; 0.62;-3.08
12.60; 2.56;30.04; 0.56; 0.80; 0.71; 0.23;4639; 0.69;-2.91
11.35; 1.54;29.20; 5.82; 0.93; 0.83; 0.49;5126; 0.70;-4.07
15.97; 4.59;28.87; 0.54; 0.47; 0.40; 0.04;3788; 0.57;-3.31
11.35; 1.54;28.86; 2.93; 0.93; 0.83; 0.49;5126; 0.70;-4.41
16.58; 4.72;29.10; 1.59; 0.39; 0.35; 0.02;3665; 0.45;-2.87
10.93; 1.62;29.13; 4.88; 1.02; 0.91; 0.72;5411; 0.72;-4.32
11.49; 1.54;28.90; 6.22; 0.91; 0.81; 0.43;5046; 0.70;-4.32
12.19; 2.41;29.21; 7.29; 0.83; 0.74; 0.29;4764; 0.69;-3.84
15.92; 4.24;29.29; 1.34; 0.44; 0.38; 0.03;3734; 0.45;-2.81
14.03; 3.33;29.03; 6.44; 0.64; 0.54; 0.10;4093; 0.62;-3.54
13.29; 2.90;29.25; 5.97; 0.72; 0.62; 0.15;4323; 0.66;-3.51
11.09; 1.54;29.09; 5.07; 0.98; 0.88; 0.62;5304; 0.72;-4.29
12.65; 2.45;29.43; 5.16; 0.79; 0.69; 0.22;4582; 0.69;-3.49
10.29; 1.34;29.43; 2.17; 1.13; 1.05; 1.24;5780; 0.94;-4.25
11.57; 2.15;29.95; 5.16; 0.93; 0.82; 0.47;5099; 0.70;-3.30
11.75; 2.00;29.03; 6.28; 0.91; 0.80; 0.42;5035; 0.70;-4.18
13.92; 3.36;29.39; 0.26; 0.66; 0.57; 0.11;4153; 0.66;-3.23
